question,right,b,c,d,type
გარემოს დაბალი ტემპერატურის პირობებში ჭარბი ალკოჰოლის მიღება,გააფართოებს სისხლძარღვებს ადამიანი მარტივად დაკარგავს სითბოს და მოხდება ორგანიზმის გადაციება,ვიწროვებს სისხლძარღვებს და ინარჩუნებს სითბოს ორგანიზმის გადახურების რისკის ქვეშ,აუმჯობესებს სითბოს გაცემას და ხელს უწყობს ნორმალური ტემპერატურის შენარჩუნებას,არანაირ გავლენას არ ახდენს სითბოს რეგულაციის პროცესებზე,
რომელი ორგანო წარმოადგენს თერმორეგულაციის (ტემპერატურის რეგულირების) ცენტრს ადამიანის ორგანიზმში?,ჰიპოთალამუსი,თირკმელზედა ჯირკვალი,ფარისებრი ჯირკვალი,ჰიპოფიზი,1
ადამიანის ორგანიზმში რომელი სისტემა/სისტემები არეგულირებს ორგანიზმში მიმდინარე სხვადასხვა პროცესებს?,ნერვული და ენდოკრინული,საჭმლის მომნელებელი და სისხლის მიმოქცევის,სუნთქვის და ლიმფური,საყრდენ-მამოძრავებელი და შარდ-სასქესო,
რომელი არ მიეკუთვნება იმუნურ სისტემას?,ფარისებრი ჯირკვალი,ელენთა,ლიმფური კვანძები,ძვლის ტვინი,
ჰიპერთერმიის დროს რა არის ორგანიზმის მომატებული ტემპერატურის მიზეზი?,დარღვეულია სითბოს გაცემის პროცესი ორგანიზმს არ შეუძლია გაგრილდეს და შეინარჩუნოს ნორმალური ტემპერატურა,მომატებულია სითბოს წარმოქმნის პროცესი და სითბოს გაცემა ნორმაშია,ორგანიზმმა მოიმატა სითბო გარე ტემპერატურის გამო და გაცემის პროცესი ნორმალურია,დარღვეულია მხოლოდ სითბოს წარმოქმნის პროცესი,
დაბალი ტემპერატურის დროს რატომ გრძნობს ადამიანი სიცივეს კიდურებში?,რათა ორგანიზმმა სითბო არ დაკარგოს სისხლძარღვები ვიწროვდება შესაბამისად ნაკლები სისხლი მიეწოდება კანის ზედაპირს,სისხლძარღვები ფართოვდება რაც აჩქარებს სისხლის მიმოქცევას კიდურებში,ორგანიზმი ცდილობს სითბო გადაიტანოს კიდურებიდან შინაგან ორგანოებში,კიდურებიდან ჭარბი სითბოს სწრაფად გაცემა ხდება,
ცხვირიდან სისხლდენის შემთხვევაში რომელი ქვემოთ ჩამოთვლილი არის სწორი მოქმედება სისხლდენის შესაჩერებლად?,დაჯდომა თავის ოდნავ წინ გადახრა და ცხვირის რბილ ნაწილებზე საჩვენებელი და ცერა თითებით ზეწოლა,დაწოლა თავის უკან გადახრით და ცივი კომპრესის დადება,დაჯდომა თავის უკან გადახრით და საძილე არტერიის დაზელა,დაწოლა და ცხვირის ნესტოებში ბამბის ტამპონის ჩადება,
როგორი ტიპის სისხლდენაა სიცოცხლისთვის ყველაზე საშიში?,არტერიული,კაპილარული,ვენური,პარენქიმული,1
პირველადი დახმარების DRCAB ალგორითმის მიხედვით რა პრინციპს ემყარება სუნთქვის შემოწმება?,სამი “ვ”-ის პრინციპი: ვხედავ ვგრძნობ ვისმენ,სამი “პ”-ის პრინციპი: პულსი პოზიცია პასუხი,სამი “გ”-ის პრინციპი: გზა გული გონება,სამი “ს”-ის პრინციპი: სუნთქვა სისხლდენა საშიშროება,
ქუჩაში "ზებრა"-ზე გადასვლისას დაინახეთ რომ უეცრად მოხუცი ქალბატონი წაიქცა და ვერ ახერხებს წამოდგომას პირველ რიგში თქვენ შეაფასეთ გარემოს უსაფრთხოება ამის შემდეგ მიხვედით მოხუცთან და რა უნდა იყოს თქვენი შემდეგი ნაბიჯი პირველადი დახმარების DRCAB ალგორითმის მიხედვით?,ცნობიერების შემოწმება,სუნთქვის შემოწმება,სისხლდენის შეჩერება,დაუყოვნებლივ დაწვენა,
ადამიანს რომელსაც გონება აქვს დაკარგული როგორ შევუმოწმოთ მუშაობს თუ არა მისი გული?,შევამოწმოთ საძილე არტერიის პულსაცია,შევამოწმოთ მაჯის არტერიის პულსაცია,მკერდზე ხელის დადებით,კანის ფერის შემოწმებით,
რა მეთოდით გავუთავისუფლოთ სასუნთქი გზები გონებადაკარგულ ადამიანს?,დავაწვინოთ სწორ ზედაპირზე და თავი უკან გადავაწევინოთ,თავი წინ გადავუხაროთ და დავაწვინოთ გვერდზე,პირი გავუხსნათ და ენაზე დავაჭიროთ,ხელები ავუწიოთ და დავსვათ,
ლექტორი შეუძლოდ გახდა და დაეწყო ეპილეფსიური გულყრა (კრუნჩხვები) როგორ მოვიქცეთ არსებულ სიტუაციაში?,დავაწვინოთ გვერდზე და დავეხმაროთ რომ არ მიიღოს თვითნებური ტრავმა,სასწრაფოდ შევუჩეროთ კრუნჩხვები ხელ-ფეხის დაჭერით,ენაზე დავაჭიროთ რათა არ გადაყლაპოს და ენა არ მოიგლიჯოს,დავტოვოთ ზურგზე და უბრალოდ დავაკვირდეთ,
სტუდენტმა უცებ გონება დაკარგა პულსი ნორმალური აქვს რა არის პირველადი დახმარების შემდეგი ნაბიჯი DRCAB ალგორითმის მიხედვით?,A-airway სასუნთქი გზების გახსნა,C-circulation სისხლის მიმოქცევის შემოწმება,B-breathing სუნთქვის შემოწმება,R-response ცნობიერების შემოწმება,
მაგისტრალზე შეესწარით ავტოსაგზაო შემთხვევას გზის სავალ ნაწილზე ხედავთ ადამიანს რომელიც სავარაუდოდ უგონოდაა რა იქნება პირველი ნაბიჯი DRCAB მიხედვით?,გარემოს უსაფრთხოება (D-danger),ცნობიერების შემოწმება (R-response),სასუნთქი გზების გახსნა (A-airway),სუნთქვის შემოწმება (B-breathing),
რას აზიანებს „აივ“ (შიდსის გამომწვევი) ვირუსული ინფექცია?,T ლიმფოციტებს,B ლიმფოციტებს,ერითროციტებს,თრომბოციტებს,1
ქვემოთ ჩამოთვლილთაგან რომელი აღწერს ყველაზე უკეთ ალერგიას?,იმუნური სისტემის გადაჭარბებული პასუხი არადამაზიანებელ ნივთიერებაზე,იმუნური სისტემის არასაკმარისი პასუხი უცხო ნივთიერებაზე,სხეულის აუტოიმუნური რეაქცია საკუთარ უჯრედებზე,ორგანიზმის ინფექციური დაავადებით დაზიანება,
რატომ შეიძლება დაგვემართოს ზოგიერთი ინფექცია განმეორებით (თუ ერთხელ უკვე გადავიტანეთ ეს ინფექცია)?,მიკროორგანიზმები ზოგჯერ განიცდიან მუდმივ სახეცვლილებას (მუტაციას) და იმუნური მეხსიერება არ გვაქვს ამ სახეცვლილ მიკროორგანიზმზე,ჩვენი იმუნური მეხსიერება ძალიან ხანმოკლეა და მალე ქრება,ორგანიზმს არ შეუძლია მეორედ განავითაროს იმუნიტეტი,ვაქცინაციის არარსებობის გამო,
რომელია ყველაზე მწვავე ალერგიის ფორმა?,ანაფილაქსია,რინიტი,ჭინჭრის ციება,კონტაქტური დერმატიტი,1
იმუნური სისტემის უჯრედები:,ლეიკოციტები ლიმფოციტები (ლიმფური ჯირკვლები ელენთა) დენდრიტული უჯრედები,ერითროციტები და თრომბოციტები,მხოლოდ ლიმფოციტები,მხოლოდ ლეიკოციტები,
პასიური იმუნიტეტის მაგალითი:,დედის რძიდან ან შრატიდან მზა ანტისხეულების მიღება,ვაქცინაცია,ავადმყოფობის გადატანა,იმუნური სისტემის უჯრედების გამომუშავება,
რომელი ვირუსული ინფექციის პრევენციისთვის შეიქმნა პირველი ვაქცინა?,ადამიანის ყვავილი,პოლიომიელიტი,ყივანახველა,წითელა,
ადამიანის ყვავილის საწინააღმდეგო ვაქცინის შესაქმნელად ედუარდ ჯენერმა რომელი ქვემოთ ჩამოთვლილი ვირუსი გამოიყენა?,ძროხის ყვავილი,ჩუტყვავილას ვირუსი,წითელას ვირუსი,ღორის გრიპის ვირუსი,
რომელი ტიპის კიბოს პრევენცია შეუძლია მოახდინოს ადამიანის პაპილომავირუსის საწინააღმდეგო ვაქცინაციამ ქალებში?,საშვილოსნოს ყელის კიბო,ძუძუს კიბო,ფილტვის კიბო,კუჭის კიბო,
რომელმა ქართველმა მეფემ აცრა პირველად თავისი შვილი ადამიანის ყვავილის საწინააღმდეგო ვაქცინით?,ერეკლე II,ვახტანგ VI,გიორგი XII,თამარ მეფე,1
ვირუსული ინფექცია რომლის საწინააღმდეგო ვაქცინაციითაც შესაძლებელია კიბოს განვითარების პრევენცია?,ადამიანის პაპილომავირუსი,გრიპის ვირუსი,ჰერპესის ვირუსი,ციტომეგალოვირუსი,
რა არის ვაქცინაციის მთავარი მიზანი?,პოტენციური ინფექციის პრევენცია ან ინფიცირების რისკის შემცირება,უკვე არსებული დაავადების სწრაფი მკურნალობა,ორგანიზმის დასუსტება ინფექციის მიმართ,იმუნური სისტემის დათრგუნვა,
იმუნიზაციით რომელ ტიპს მიეკუთვნება ვაქცინაცია?,აქტიურს ხელოვნურს,პასიურს ბუნებრივს,აქტიურს ბუნებრივს,პასიურს ხელოვნურს,
რომელია მართებული ვაქცინაციის შესახებ?,უზრუნველყოფს იმუნიტეტის გამომუშავებას ინფექციის გამომწვევი მიკროორგანიზმის საწინააღმდეგოდ,იწვევს იმუნიტეტის მყისიერ დაქვეითებას,საჭიროა მხოლოდ უკვე დაავადებული ადამიანებისთვის,არანაირ გავლენას არ ახდენს ინფექციის მიმართ მდგრადობაზე,
რომელი ინფექციური დაავადება აღმოიფხვრა ვაქცინაციის საშუალებით?,ადამიანის ყვავილი,პოლიომიელიტი,ტუბერკულოზი,ყივანახველა,
ვინ შექმნა პირველი ვაქცინა?,ედუარდ ჯენერმა,ლუი პასტერი,რობერტ კოხი,ალექსანდერ ფლემინგი,
ვინ იყო ბოლო ადამიანი რომელიც ადამიანის ყვავილით დაინფიცირდა?,ალი მაო მაალინი,მერი მელონი,ედნა ბრაუნი,ჯონ სმიტი,
რომელმა მეცნიერმა დაასნებოვნა ოჯახი ძროხის ყვავილით და გადაარჩინა ადამიანის ყვავილისგან?,ბენჟამინ ჟესტი,ედუარდ ჯენერი,ლუი პასტერი,რობერტ კოხი,
რომელი მეცნიერის სახელს მიეწერება PCR ტექნიკის შექმნა?,ქერი მულისი,ჯეიმს უოტსონი,ფრენსის კრიკი,რობერტ კოხი,
რომელი მეცნიერის სახელს მიეწერება X-სხივების აღმოჩენა?,ვილჰელმ რენტგენი,მარი კიური,ალბერტ აინშტაინი,ნიკოლა ტესლა,
რომელ ორგანოში გამომუშავდება ჰორმონი ინსულინი?,პანკრეასში,ღვიძლში,თირკმელში,ელენთაში,1
რა პრინციპს ემყარება კომპიუტერული ტომოგრაფიის ვიზუალიზაცია (CT)?,იყენებს რენტგენის სხივებს,იყენებს მაგნიტურ ველს,იყენებს ულტრაბგერით ტალღებს,იყენებს რადიო ტალღებს,
რა პრინციპს ემყარება მაგნიტურ-რეზონანსული ტომოგრაფიის (MRI) ვიზუალიზაცია?,მაგნიტურ ველს,რენტგენის სხივებს,ბგერით ტალღებს,რადიოაქტიურ იზოტოპებს,1
რა პრინციპს ემყარება ულტრასონოგრაფიის (ექოსკოპიის) ვიზუალიზაცია?,იყენებს ბგერით ტალღებს,იყენებს რენტგენის სხივებს,იყენებს მაგნიტურ ველს,იყენებს ინფრაწითელ გამოსხივებას,
რომელი კვლევის დროს შეიძლება მივიღოთ დასხივება თუ ხშირად ვიტარებთ მას?,კომპიუტერული ტომოგრაფია (CT),ულტრასონოგრაფია (ექოსკოპია),მაგნიტურ-რეზონანსული ტომოგრაფია (MRI),ელექტროკარდიოგრამა (ეკგ),
რა ეწოდება დნმ-ის მცირე მონაკვეთს რომელიც შეიცავს ცილის სინთეზისთვის საჭირო ინფორმაციას და განსაზღვრავს 1 კონკრეტულ მემკვიდრულ ნიშან-თვისებას?,გენი,ქრომოსომა,ნუკლეოტიდი,ალელი,1
რას წარმოქმნის ცილებზე კომპაქტურად დახვეული დნმ?,ქრომოსომა,გენი,რნმ,მემბრანა,1
როზალინდ ფრანკლინმა დნმ-ის სტრუქტურის გაშიფვრაში დიდი წვლილი შეიტანა შემდეგი ვიზუალიზაციის საშუალების გამოყენებით:,რენტგენული კრისტალოგრაფია,ულტრასონოგრაფია,მაგნიტურ-რეზონანსული ტომოგრაფია,კომპიუტერული ტომოგრაფია,
დაასახელეთ უჯრედის ტიპი რომელიც 23 ქრომოსომას შეიცავს:,გამეტები (სასქესო უჯრედები),სომატური უჯრედები,კანის უჯრედები,ნერვული უჯრედები,
რა აღმოჩენას უკავშირდება ჯეიმს უოტსონისა და ფრენსის კრიკის სახელები?,დნმ-ის სტრუქტურის გაშიფვრა (ორმაგი სპირალი),ინსულინის აღმოჩენა,PCR ტექნიკის შექმნა,X-სხივების აღმოჩენა,
ფრედერიკ ბანტინგი დაჯილდოვდა ნობელის პრემიით რადგან აღმოაჩინა ნივთიერება რომელიც სისხლში შაქრის დონის კონტროლისთვისაა საჭირო დაასახელეთ ბანტინგის მიერ აღმოჩენილი ნივთიერება:,ინსულინი,გლუკაგონი,ადრენალინი,თიროქსინი,1
გენების რაოდენობა რომელსაც ადამიანის გენომი შეიცავს:,20000-25000,1000-5000,50000-100000,200000-250000,
ვინ აღმოაჩინა ინსულინი?,ფრედერიკ ბანტინგმა,ალექსანდერ ფლემინგი,ჯეიმს უოტსონი,ფრენსის კრიკი,
კლონის შესაქმნელად საჭირო გენეტიკური ინფორმაცია მიიღება სომატური უჯრედიდან (46 ქრომოსომა),კვერცხუჯრედს ვათავისუფლებთ საკუთარი გენეტიკური ინფორმაციისგან და empty კვერცხუჯრედში ვათავსებთ სომატურ უჯრედს კვერცხუჯრედი მრავლდება ამ მიზეზის გამო კლონირებული უჯრედი სომატური უჯრედის მსგავსია,სასქესო უჯრედების შერწყმით,კვერცხუჯრედის ბირთვის პირდაპირი გამოყენებით,სომატური უჯრედების პირდაპირი გაყოფით,
თუ ვარჯიშობთ და გსურთ კუნთის მასა მოიმატოთ რომელი ქვემოთ ჩამოთვლილი ნუტრიენტის გაზრდაა რეკომენდებული თქვენს საკვებ რაციონში?,ცილები,ნახშირწყლები,ცხიმები,ვიტამინები,1
აღწერეთ ჯანსაღი დიეტა რომელიც ორგანიზმისთვის საჭირო თითქმის ყველა ნივთიერებას შეიცავს:,საკვები რაციონი უნდა შეიცავდეს ყველა ნუტრიენტს რეკომენდირებული რაოდენობით უნდა შევამციროთ მარტივი ნახშირწყლები და მივიღოთ ჯანსაღი ცილებისა და ცხიმების შემცველი პროდუქტები,საკვები რაციონი უნდა შეიცავდეს ძირითადად მარტივ ნახშირწყლებს და ცოტა ცხიმს,რაციონი უნდა იყოს მაღალი ცხიმებისა და დაბალი ცილების შემცველობით,საკვები რაციონი უნდა შეიცავდეს დიდი რაოდენობით ცილას და მინიმალურ ნახშირწყლებს,
რომელი ვიტამინის ნორმალური დონე უზრუნველყოფს ჯანსაღ ძვლებს და კბილებს?,ვიტამინი D,ვიტამინი A,ვიტამინი C,ვიტამინი B1,1
რომელი ვიტამინის მიღებაა რეკომენდებული ორსულობის პერიოდში ნაყოფის განვითარებისთვის?,ფოლიუმის მჟავა,ვიტამინი K,ვიტამინი B6,ვიტამინი E,
რომელი ვიტამინი სინთეზირდება კანზე ულტრაიისფერი სხივების დახმარებით?,ვიტამინი D,ვიტამინი B12,ვიტამინი C,ვიტამინი A,1
რომელი ვიტამინის მიღებაა რეკომენდებული დანამატის სახით თუ ადამიანი არის ექსკლუზიურად ვეგანურ დიეტაზე? (დაასახალეთ ვიტამინი რომელიც მხოლოდ ცხოველურ პროდუქტებში გვხვდება):,B12,ვიტამინი C,ვიტამინი D,ვიტამინი E,1
რომელი ვიტამინის მიღებაა აუცილებელი სხვადასხვა ინფექციების სამკურნალოდ?,სპეციფიკური ვიტამინების მიღება არ არის საჭირო თუ არ გვაქვს ლაბორატორიულად დადასტურებული რომელიმე ვიტამინის დეფიციტი და ვიღებთ დაბალანსებულ საკვებ რაციონს,აუცილებელია C ვიტამინის დიდი დოზით მიღება,ყოველთვის საჭიროა D ვიტამინის დანამატის მიღება,B ჯგუფის ვიტამინების მიღება აუცილებელია,
ჯანსაღი საკვები რაციონის შედგენისას რომელი ქვემოთ ჩამოთვლილი ნუტრიენტების შემცირებაა რეკომენდებული?,მარტივი ნახშირწყლები,ცილები,ჯანსაღი ცხიმები,რთული ნახშირწყლები,
აღწერეთ ოპიოიდური ნარკოტიკების ეფექტი ხანგრძლივი მოხმარებისას:,ჰეროინი მორფინი მეტადონი ფენტანილი (ფიზიკური დამოკიდებულება),მხოლოდ ფსიქოლოგიური დამოკიდებულება,არანაირი დამოკიდებულება,მხოლოდ ფიზიკური დამოკიდებულება,
რომელი ქვემოთ ჩამოთვლილი რისკ-ფაქტორი არის ასოცირებული ნივთიერებების მოხმარების დარღვევასთან?,მენტალური ჯანმრთელობის პრობლემა,მაღალი შემოსავალი,სტაბილური დასაქმება,სოციალური აქტივობა,
რომელი ქვემოთ ჩამოთვლილი სიმპტომია დამახასიათებელი მწვავე ალკოჰოლის აღკვეთის სინდრომისთვის?,ჰალუცინაციები,გაზრდილი მადა,ჰიპერსომნია,დაბალი არტერიული წნევა,
რომელი ნივთიერების აღკვეთის სინდრომი შეიძლება იყოს პოტენციურად სასიკვდილო ამ ნივთიერების ქრონიკულად მოხმარებისას?,ალკოჰოლი,კოფეინი,მარიხუანა,ნიკოტინი,1
რომელი დებულებაა მართებული კოფეინთან დაკავშირებით?,400მგ-მდე მიღება სასარგებლოა,ნებისმიერი რაოდენობით მიღება საზიანოა,არანაირ გავლენას არ ახდენს ორგანიზმზე,დიდი დოზებით აუცილებლად იწვევს დამოკიდებულებას,
რომელი ქვემოთ ჩამოთვლილი მიეკუთვნება ე.წ. „კლუბურ ნარკოტიკებს“?,MDMA,ნიკოტინი,ალკოჰოლი,კოფეინი,1
რომელი ქვემოთ ჩამოთვლილი ხასიათდება ძლიერი ჰალუცინოგენური ეფექტით? (იწვევს ჰალუცინაციებს),ჰალუცინოგენები: LSD სოკო პეიოტის კაქტუსი,კანაბინოიდები,ოპიოიდები,სედატივები,
რომელი პრეპარატის მოქმედებას ახასიათებს ე.წ. „თეთრი გვირაბის“ ეფექტი?,კეტამინი,კოკაინი,მეტამფეტამინი,ჰეროინი,1
რომელი მდგომარეობა აღწერს ყველაზე უკეთ შემდეგ სიმპტომებს: გუნება-განწყობის დაქვეითება მომატებული დანაშაულის გრძნობა ხშირი ძილიანობა მადის დაქვეითება ანჰედონია მაღალი თვითშეფასება?,ბიპოლარული აშლილობა რადგან აქ შერეულია მანიისა და დეპრესიის სიმპტომები,მხოლოდ მანიაკური ეპიზოდი,მხოლოდ დეპრესიული ეპიზოდი,ნარკოლეფსია,
რა არის პანიკური შეტევების მიზეზი?,არ აქვს კონკრეტული მიზეზი,ყოველთვის დაკავშირებულია კონკრეტულ ტრავმასთან,გამოწვეულია დაბალი შაქრის დონით,გამოწვეულია ყოველთვის კოფეინის ჭარბი მიღებით,
დაქვეითებული გუნება-განწყობა მუდმივი დაღლილობის შეგრძნება ახასიათებს მოულოდნელი ჩაძინების ეპიზოდები:,ნარკოლეფსია,შფოთვითი აშლილობა,ობსესიურ-კომპულსიური აშლილობა,ბიპოლარული აშლილობა,
მეგობარმა გთხოვათ 30 წუთში გააღვიძოთ თუმცა უკვე 5 წუთია ვერ აღვიძებთ რომელ ფაზაშია?,NREM3 ან 4,REM,NREM1,NREM2,1
თუ ძილის რეჟიმი არეული გვაქვს მაშინ რა უნდა გავაკეთოთ?,ვეცადოთ დავიძინოთ და გავიღვიძოთ ერთსა და იმავე დროს,დავიძინოთ მხოლოდ მაშინ როცა დაგვეძინება,დავიძინოთ სხვადასხვა დროს ყოველდღე,მივიღოთ დიდი დოზით კოფეინი ძილის წინ,
რას გულისხმობს მენტალური ჯანმრთელობა?,ემოციურ ფსიქიკურ და სოციალურ კეთილდღეობას,მხოლოდ ფსიქიკურ ჯანმრთელობას,მხოლოდ სოციალურ კეთილდღეობას,მხოლოდ ემოციურ კეთილდღეობას,
რომელი ქვემოთ ჩამოთვლილი საშუალება არის საუკეთესო პრევენცია „გაციების“ თავიდან ასარიდებლად?,ხელების ხშირი დაბანა და ოთახის განიავება,ანტიბიოტიკების რეგულარული მიღება,დიდი რაოდენობით C ვიტამინის მიღება,პირბადის ტარება ზაფხულში,
რომელი ქვემოთ ჩამოთვლილი არის რეკომენდებული გაციების სამკურნალოდ?,დასვენება და სითხის ადეკვატური მიღება,ანტიბიოტიკების დაუყოვნებლივ მიღება,ალკოჰოლის მიღება სხეულის გასათბობად,სრული შიმშილი და ცივი შხაპი,
რას გულისხმობს ანტისეპტიკა?,მიკროორგანიზმების რაოდენობის შემცირება,მიკროორგანიზმების სრული განადგურება,ზედაპირის უბრალო გასუფთავება,ქიმიური ნივთიერებების გამოყენება,
რას გულისხმობს ასეპტიკა?,საშუალებებს რომლებიც მიკროორგანიზმებს სრულიად გაანადგურებს არსებული ზედაპირიდან,მიკროორგანიზმების რაოდენობის შემცირებას,მხოლოდ ჭუჭყის მოშორებას,ბაქტერიების ზრდის შეფერხებას,
რომელ სქესობრივი გზით გადამდებ ინფექციაზე სასურველია ერთხელ მაინც ჩატარდეს სკრინინგული ტესტი?,შიდსი,C ჰეპატიტი,ადამიანის პაპილომავირუსი,ტრიქომონიაზი,1
სქესობრივი გზით გადამდები ინფექციები:,შიდსი სიფილისი გონორეა ქლამიდია შანკროიდი კონდილომა ტრიქომონიაზი B ჰეპატიტი,გრიპი გაციება ყივანახველა,წითელა წითურა ყბაყურა,ტუბერკულოზი მალარია დიზენტერია,
რომელმა მეცნიერმა აღმოაჩინა ანტიბიოტიკი და შექმნა სიფილისის საწინააღმდეგო წამალი?,პოლ ერლიხმა,ალექსანდერ ფლემინგი,რობერტ კოხი,ლუი პასტერი,
რომელი მეცნიერის სახელს უკავშირდება ბაქტერიოფაგების აღმოჩენა?,ფელიქს დერელი,ფრედერიკ უილიამ ტვიორტი,გიორგი ელიავა,ალექსანდერ ფლემინგი,
რომელი მეცნიერის ინიციატივით შეიქმნა პირველი ბაქტერიოფაგების შემსწავლელი ინსტიტუტი?,გიორგი ელიავა,ფელიქს დერელი,ჟორჟ მატე,ერნესტ მაკკულოხი,
პენიცილინი წარმოქმნილია:,სოკოების მიერ,ბაქტერიების მიერ,ვირუსების მიერ,ადამიანის მიერ,1
რომელი მიკროორგანიზმია ადამიანის მიკრობიომის შემადგენელი და გვეხმარება ბევრ პროცესში?,ბაქტერია,ვირუსი,სოკო,პარაზიტი,1
რა ტიპის ინფექციური დაავადების სამკურნალოდ შეიძლება იყოს ბაქტერიოფაგები ეფექტური?,ბაქტერიული,ვირუსული,სოკოვანი,პარაზიტული,
რა არის ბაქტერიოფაგი?,ვირუსი რომელიც აინფიცირებს ბაქტერიას,ბაქტერია რომელიც აინფიცირებს ვირუსს,სოკო რომელიც აინფიცირებს ბაქტერიას,ბაქტერია რომელიც კლავს ვირუსს,
რა თვისებით ხასიათდება ღეროვანი უჯრედები?,შეუძლია გარდაიქმნას სხვადასხვა ტიპის უჯრედებად,ისინი მხოლოდ ერთ კონკრეტულ უჯრედად იქცევიან,მათ არ შეუძლიათ გაყოფა,მათ არ აქვთ ბირთვი,
დაასახელეთ ზრდასრული ადამიანის ღეროვანი უჯრედების ტიპი:,ძვლის ტვინი,ნერვული უჯრედები,კუნთოვანი უჯრედები,კანის უჯრედები,
რას წარმოადგენს შინია იამანაკას აღმოჩენა ღეროვან უჯრედებთან დაკავშირებით?,ზრდასრული უჯრედების სტიმულაციით შესაძლებელია ღეროვანი უჯრედის მიღება,ღეროვანი უჯრედების ხელოვნური შექმნა ნულიდან,ბაქტერიების ღეროვან უჯრედებად გარდაქმნა,მხოლოდ სასქესო უჯრედების გამოყენება,
ვინ შექმნა პენიცილინი?,ალექსანდერ ფლემინგმა,ედუარდ ჯენერი,ლუი პასტერი,რობერტ კოხი,
ვინ აღმოაჩინა ღეროვანი უჯრედები?,ჯეიმს ტილმა და ერნესტ მაკკულოხმა,შინია იამანაკა,ჯეიმს უოტსონი,ფრენსის კრიკი,
რომელმა მეცნიერებმა განსაზღვრეს ღეროვანი უჯრედების თვისებები და აღმოაჩინეს სისხლის უჯრედების წარმომქმნელი ღეროვანი უჯრედები?,ჯეიმს ტილმა და ერნესტ მაკკულოხმა,შინია იამანაკა,ჯეიმს უოტსონი,ფრენსის კრიკი,
რომელმა მეცნიერმა ჩაატარა პირველად თერაპია ღეროვანი უჯრედების გამოყენებით ძვლის ტვინის ტრანსპლანტაცია?,ჟორჟ მატემ,ჯეიმს ტილი,ერნესტ მაკკულოხი,ფელიქს დერელი,
ვინ აღმოაჩინა მდინარეში ბაქტერიოფაგი?,ფრედერიკ უილიამ ტვიორტმა,ფელიქს დერელი,გიორგი ელიავა,ჟორჟ მატე,